trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
4151,00:05:00,00:05:10,252,1,0,0
4151,00:06:00,00:06:10,251,2,0,0
4151,00:07:00,00:07:10,250,3,0,0
4151,00:09:00,00:09:10,249,4,0,0
4151,00:15:00,00:15:10,248,5,0,0
4151,00:16:00,00:16:10,247,6,0,0
4151,00:19:00,00:19:10,246,7,0,0
4151,00:21:00,00:21:10,245,8,0,0
4151,00:23:00,00:23:10,244,9,0,0
4151,00:25:00,00:25:10,243,10,0,0
4151,00:28:00,00:28:10,242,11,0,0
4151,00:30:00,00:30:10,241,12,0,0
4151,00:33:00,00:33:10,240,13,0,0
4152,00:36:00,00:36:10,252,1,0,0
4152,00:37:00,00:37:10,251,2,0,0
4152,00:40:00,00:40:10,249,4,0,0
4152,00:46:00,00:46:10,248,5,0,0
4152,00:47:00,00:47:10,247,6,0,0
4152,00:50:00,00:50:10,246,7,0,0
4152,00:52:00,00:52:10,245,8,0,0
4152,00:54:00,00:54:10,244,9,0,0
4152,00:56:00,00:56:10,243,10,0,0
4152,00:59:00,00:59:10,242,11,0,0
4152,01:01:00,01:01:10,241,12,0,0
4152,01:04:00,01:04:10,240,13,0,0
4153,01:20:00,01:20:10,252,1,0,0
4153,01:21:00,01:21:10,251,2,0,0
4153,01:24:00,01:24:10,249,4,0,0
4153,01:30:00,01:30:10,248,5,0,0
4153,01:31:00,01:31:10,247,6,0,0
4153,01:34:00,01:34:10,246,7,0,0
4153,01:36:00,01:36:10,245,8,0,0
4153,01:38:00,01:38:10,244,9,0,0
4153,01:40:00,01:40:10,243,10,0,0
4153,01:43:00,01:43:10,242,11,0,0
4153,01:45:00,01:45:10,241,12,0,0
4153,01:48:00,01:48:10,240,13,0,0
4154,02:05:00,02:05:10,252,1,0,0
4154,02:06:00,02:06:10,251,2,0,0
4154,02:09:00,02:09:10,249,4,0,0
4154,02:15:00,02:15:10,248,5,0,0
4154,02:16:00,02:16:10,247,6,0,0
4154,02:19:00,02:19:10,246,7,0,0
4154,02:21:00,02:21:10,245,8,0,0
4154,02:23:00,02:23:10,244,9,0,0
4154,02:25:00,02:25:10,243,10,0,0
4154,02:28:00,02:28:10,242,11,0,0
4154,02:30:00,02:30:10,241,12,0,0
4154,02:33:00,02:33:10,240,13,0,0
4155,02:50:00,02:50:10,252,1,0,0
4155,02:51:00,02:51:10,251,2,0,0
4155,02:54:00,02:54:10,249,4,0,0
4155,03:00:00,03:00:10,248,5,0,0
4155,03:01:00,03:01:10,247,6,0,0
4155,03:04:00,03:04:10,246,7,0,0
4155,03:06:00,03:06:10,245,8,0,0
4155,03:08:00,03:08:10,244,9,0,0
4155,03:10:00,03:10:10,243,10,0,0
4155,03:13:00,03:13:10,242,11,0,0
4155,03:15:00,03:15:10,241,12,0,0
4155,03:18:00,03:18:10,240,13,0,0
4156,03:35:00,03:35:10,252,1,0,0
4156,03:36:00,03:36:10,251,2,0,0
4156,03:39:00,03:39:10,249,4,0,0
4156,03:45:00,03:45:10,248,5,0,0
4156,03:46:00,03:46:10,247,6,0,0
4156,03:49:00,03:49:10,246,7,0,0
4156,03:51:00,03:51:10,245,8,0,0
4156,03:53:00,03:53:10,244,9,0,0
4156,03:55:00,03:55:10,243,10,0,0
4156,03:58:00,03:58:10,242,11,0,0
4156,04:00:00,04:00:10,241,12,0,0
4156,04:03:00,04:03:10,240,13,0,0
4157,04:20:00,04:20:10,252,1,0,0
4157,04:21:00,04:21:10,251,2,0,0
4157,04:22:00,04:22:10,250,3,0,0
4157,04:24:00,04:24:10,249,4,0,0
4157,04:30:00,04:30:10,248,5,0,0
4157,04:31:00,04:31:10,247,6,0,0
4157,04:34:00,04:34:10,246,7,0,0
4157,04:36:00,04:36:10,245,8,0,0
4157,04:38:00,04:38:10,244,9,0,0
4157,04:40:00,04:40:10,243,10,0,0
4157,04:43:00,04:43:10,242,11,0,0
4157,04:45:00,04:45:10,241,12,0,0
4157,04:48:00,04:48:10,240,13,0,0
4158,04:56:00,04:56:10,252,1,0,0
4158,04:57:00,04:57:10,251,2,0,0
4158,04:58:00,04:58:10,250,3,0,0
4158,05:00:00,05:00:10,249,4,0,0
4158,05:06:00,05:06:10,248,5,0,0
4158,05:07:00,05:07:10,247,6,0,0
4158,05:10:00,05:10:10,246,7,0,0
4158,05:12:00,05:12:10,245,8,0,0
4158,05:14:00,05:14:10,244,9,0,0
4158,05:16:00,05:16:10,243,10,0,0
4158,05:19:00,05:19:10,242,11,0,0
4158,05:21:00,05:21:10,241,12,0,0
4158,05:24:00,05:24:10,240,13,0,0
4159,05:25:00,05:25:10,252,1,0,0
4159,05:26:00,05:26:10,251,2,0,0
4159,05:27:00,05:27:10,250,3,0,0
4159,05:29:00,05:29:10,249,4,0,0
4159,05:35:00,05:35:10,248,5,0,0
4159,05:36:00,05:36:10,247,6,0,0
4159,05:39:00,05:39:10,246,7,0,0
4159,05:41:00,05:41:10,245,8,0,0
4159,05:43:00,05:43:10,244,9,0,0
4159,05:45:00,05:45:10,243,10,0,0
4159,05:48:00,05:48:10,242,11,0,0
4159,05:50:00,05:50:10,241,12,0,0
